country,year,value,population
Brazil,2010,16.77666667,212559409
Brazil,2011,15.646,212559409
Brazil,2012,15.308,212559409
Brazil,2013,14.16,212559409
Brazil,2014,15.95882353,212559409
Brazil,2015,13.25769231,212559409
Brazil,2016,15.6,212559409
Brazil,2018,15.22333333,212559409
Brazil,2019,15.43,212559409
Brazil,2020,14.2,212559409
Brazil,2021,13.6,212559409
China,2011,75.53666667,1439323774
China,2012,56.602,1439323774
China,2013,75.35,1439323774
China,2014,52.34248826,1439323774
China,2015,49.48566972,1439323774
China,2016,45.62125455,1439323774
China,2017,44.61554054,1439323774
China,2018,40.40886066,1439323774
China,2019,38.50875514,1439323774
China,2020,34.7,1439323774
China,2021,32.6,1439323774
France,2010,17.74651515,65273512
France,2014,9.02,65273512
France,2015,12.74556452,65273512
France,2016,11.57356522,65273512
France,2017,10.9672,65273512
France,2018,10.37361538,65273512
France,2019,9.418161765,65273512
France,2020,11.1,65273512
France,2021,11.4,65273512
Germany,2010,17.3460241,83783945
Germany,2013,14.11073394,83783945
Germany,2014,14.03346154,83783945
Germany,2015,12.6825,83783945
Germany,2016,12.19852941,83783945
Germany,2017,12.07834483,83783945
Germany,2018,12.57953333,83783945
Germany,2019,10.36333333,83783945
Germany,2020,10.1,83783945
Germany,2021,10.6,83783945
India,2016,39.38616438,1380004385
India,2017,39.31032258,1380004385
India,2018,72.5,1380004385
India,2019,58.1,1380004385
India,2020,51.9,1380004385
India,2021,58.1,1380004385
Indonesia,2011,17,273523621
Indonesia,2014,33,273523621
Indonesia,2015,31.485,273523621
Indonesia,2016,42.65,273523621
Indonesia,2017,30.06,273523621
Indonesia,2018,41.25,273523621
Indonesia,2019,46.35,273523621
Indonesia,2020,40.7,273523621
Indonesia,2021,34.3,273523621
Italy,2010,20.08811765,60461828
Italy,2013,18.26977778,60461828
Italy,2014,16.10431373,60461828
Italy,2015,18.68425414,60461828
Italy,2016,16.37331551,60461828
Italy,2017,17.18658768,60461828
Italy,2018,15.28847926,60461828
Italy,2019,14.4304,60461828
Italy,2020,18.5,60461828
Italy,2021,15.2,60461828
Japan,2010,10.64285714,126476458
Japan,2011,16.8,126476458
Japan,2012,14.55866667,126476458
Japan,2014,14.85066667,126476458
Japan,2018,11.47133333,126476458
Japan,2019,11.4,126476458
Japan,2020,9.8,126476458
Japan,2021,9.1,126476458
Mexico,2010,22.67714286,128932753
Mexico,2011,26.82,128932753
Mexico,2012,23.88272727,128932753
Mexico,2013,25.50272727,128932753
Mexico,2014,23.05272727,128932753
Mexico,2015,24.638125,128932753
Mexico,2016,22.24714286,128932753
Mexico,2017,22,128932753
Mexico,2018,20.1492,128932753
Mexico,2019,20,128932753
Mexico,2020,18.9,128932753
Mexico,2021,19.3,128932753
United Kingdom,2010,12.45795455,67886004
United Kingdom,2013,12.16796296,67886004
United Kingdom,2014,11.78078431,67886004
United Kingdom,2015,9.732068966,67886004
United Kingdom,2016,9.798867925,67886004
United Kingdom,2017,9.063207547,67886004
United Kingdom,2018,9.838596491,67886004
United Kingdom,2019,9.592131148,67886004
United Kingdom,2020,8.3,67886004
United Kingdom,2021,8.8,67886004
United States,2010,9.746760563,331002647
United States,2011,9.626428571,331002647
United States,2012,9.296190476,331002647
United States,2013,9.207230769,331002647
United States,2014,8.784153846,331002647
United States,2015,8.940769231,331002647
United States,2016,7.528125,331002647
United States,2017,8.801333333,331002647
United States,2018,8.861343284,331002647
United States,2019,7.319298246,331002647
United States,2020,9.6,331002647
United States,2021,10.3,331002647
